,id_transcricao,data_reuniao,setor,porte_empresa,canal,produto_principal,transcricao,risco_de_churn,oportunidade_upsell,mencao_concorrente
18,T019,2026-04-06,Distribuição,Pequena,Teams,Fluig,durante reuniao empresa setor distribuicao porte pequena cliente relatou utiliza principalmente modulo fluig equipe alinhou cronograma nova rodada testes alem disso cliente pediu documentacao tecnica complementar time interno considera importante acelerar adocao usuarios finais sugerida prova conceito validar aderencia,0,0,0
19,T020,2026-04-25,Tecnologia,Pequena,Presencial,ERP,durante reuniao empresa setor tecnologia porte pequena diretora financeira explicou utiliza principalmente modulo erp interesse ampliar uso sistema alem disso afirmou usuarios evitam usar algumas telas complexidade area negocio pediu alertas automaticos acompanhar desvios criticos sugerida prova conceito validar aderencia,1,1,0
20,T021,2026-04-19,Saúde,Média,Presencial,RH,durante reuniao empresa setor saude porte media coordenador operacoes disse utiliza principalmente modulo rh demonstrou abertura piloto dashboard gerencial alem disso reuniao foco mapeamento processo atual tambem apareceu necessidade melhorar visibilidade indicadores diretoria cliente espera melhoria perceptivel antes ampliar escopo,0,0,0
21,T022,2026-05-03,Logística,Pequena,Teams,Analytics,durante reuniao empresa setor logistica porte pequena gerente rh informou utiliza principalmente modulo analytics quer integrar crm erp ainda neste semestre alem disso reuniao foco mapeamento processo atual cliente quer reduzir trabalho manual centralizar dados unica plataforma proxima etapa sera consolidar requisitos priorizar entregas,0,1,0
22,T023,2026-04-08,Indústria,Grande,Teams,Financeiro,durante reuniao empresa setor industria porte grande responsavel projeto destacou utiliza principalmente modulo financeiro comentou diretoria questiona valor entregue alem disso reuniao foco mapeamento processo atual cliente quer reduzir trabalho manual centralizar dados unica plataforma sugerida prova conceito validar aderencia,1,0,0
23,T024,2026-05-13,Agronegócio,Grande,Zoom,Fiscal,durante reuniao empresa setor agronegocio porte grande coordenador operacoes disse utiliza principalmente modulo fiscal sinalizou possibilidade upgrade contrato alem disso equipe alinhou cronograma nova rodada testes area negocio pediu alertas automaticos acompanhar desvios criticos sugerida prova conceito validar aderencia,0,1,0
24,T025,2026-04-05,Serviços,Grande,Zoom,Protheus,durante reuniao empresa setor servicos porte grande equipe comercial observou utiliza principalmente modulo protheus interesse ampliar uso sistema alem disso registrou atraso recorrente fechamento financeiro cliente quer reduzir trabalho manual centralizar dados unica plataforma ficou combinado retornar plano acao nova demonstracao,1,1,0
25,T026,2026-04-05,Distribuição,Pequena,Zoom,RH,durante reuniao empresa setor distribuicao porte pequena equipe comercial observou utiliza principalmente modulo rh equipe alinhou cronograma nova rodada testes alem disso validada necessidade treinamento usuarioschave area negocio pediu alertas automaticos acompanhar desvios criticos proxima etapa sera consolidar requisitos priorizar entregas time citou churn risco caso sla suporte nao melhore,0,0,0
26,T027,2026-04-01,Tecnologia,Grande,Zoom,Analytics,durante reuniao empresa setor tecnologia porte grande supervisor fiscal comentou utiliza principalmente modulo analytics pediu proposta automacao processos alem disso citou insatisfacao suporte ultimo mes mencionado concorrencia apresentou proposta agressiva time pediu acompanhamento quinzenal medir evolucao,1,1,1
27,T028,2026-05-09,Indústria,Pequena,Google Meet,Fiscal,durante reuniao empresa setor industria porte pequena analista ti afirmou utiliza principalmente modulo fiscal demonstrou abertura piloto dashboard gerencial alem disso reclamou falhas integracao sistemas existe expectativa ganho produtividade automacao fluxo aprovacao cliente espera melhoria perceptivel antes ampliar escopo,1,0,0
28,T029,2026-04-06,Saúde,Grande,Presencial,Fiscal,durante reuniao empresa setor saude porte grande cliente relatou utiliza principalmente modulo fiscal afirmou usuarios evitam usar algumas telas complexidade alem disso revisao indicadores serao acompanhados tambem apareceu necessidade melhorar visibilidade indicadores diretoria ficou combinado retornar plano acao nova demonstracao,1,0,0
29,T030,2026-05-06,Logística,Pequena,Zoom,RH,durante reuniao empresa setor logistica porte pequena gerente rh informou utiliza principalmente modulo rh afirmou usuarios evitam usar algumas telas complexidade alem disso reuniao foco mapeamento processo atual cliente quer reduzir trabalho manual centralizar dados unica plataforma ficou combinado retornar plano acao nova demonstracao,1,0,0
30,T031,2026-05-06,Serviços,Grande,Teams,BI,durante reuniao empresa setor servicos porte grande time atendimento apontou utiliza principalmente modulo bi mencionou risco cancelamento problema persistir alem disso grupo revisou perfis acesso regras negocio mencionado concorrencia apresentou proposta agressiva ficou combinado retornar plano acao nova demonstracao,1,0,1
31,T032,2026-05-14,Saúde,Média,Teams,BI,durante reuniao empresa setor saude porte media coordenador operacoes disse utiliza principalmente modulo bi demonstrou abertura piloto dashboard gerencial alem disso citou insatisfacao suporte ultimo mes lideranca quer evidencias quantitativas antes decidir expansao decisao dependera percepcao valor proximas semanas,1,0,0
32,T033,2026-04-12,Construção,Grande,Google Meet,Financeiro,durante reuniao empresa setor construcao porte grande diretora financeira explicou utiliza principalmente modulo financeiro mostrou interesse modulo fiscal relatorios inteligentes alem disso reuniao foco mapeamento processo atual mencionado concorrencia apresentou proposta agressiva cliente espera melhoria perceptivel antes ampliar escopo,0,1,1
33,T034,2026-05-15,Logística,Média,Google Meet,Fiscal,durante reuniao empresa setor logistica porte media diretora financeira explicou utiliza principalmente modulo fiscal avaliando contratar modulo analytics alem disso afirmou usuarios evitam usar algumas telas complexidade tambem apareceu necessidade melhorar visibilidade indicadores diretoria sugerida prova conceito validar aderencia,1,1,0
34,T035,2026-04-15,Educação,Pequena,Presencial,BI,durante reuniao empresa setor educacao porte pequena analista ti afirmou utiliza principalmente modulo bi comentou diretoria questiona valor entregue alem disso reuniao foco mapeamento processo atual existe expectativa ganho produtividade automacao fluxo aprovacao sugerida prova conceito validar aderencia,1,0,0
35,T036,2026-05-12,Logística,Média,Teams,Fiscal,durante reuniao empresa setor logistica porte media equipe comercial observou utiliza principalmente modulo fiscal mostrou interesse modulo fiscal relatorios inteligentes alem disso reclamou falhas integracao sistemas tambem apareceu necessidade melhorar visibilidade indicadores diretoria ficou combinado retornar plano acao nova demonstracao,1,1,0
36,T037,2026-05-09,Saúde,Pequena,Zoom,ERP,durante reuniao empresa setor saude porte pequena gestor comentou utiliza principalmente modulo erp mostrou interesse modulo fiscal relatorios inteligentes alem disso validada necessidade treinamento usuarioschave lideranca quer evidencias quantitativas antes decidir expansao sugerida prova conceito validar aderencia,0,1,0
37,T038,2026-04-13,Agronegócio,Grande,Teams,Manufatura,durante reuniao empresa setor agronegocio porte grande time atendimento apontou utiliza principalmente modulo manufatura pediu proposta automacao processos alem disso reuniao foco mapeamento processo atual time interno considera importante acelerar adocao usuarios finais ficou combinado retornar plano acao nova demonstracao ha interesse poc analytics budget ainda depende aprovacao,0,1,0
38,T039,2026-04-05,Distribuição,Grande,Google Meet,BI,durante reuniao empresa setor distribuicao porte grande responsavel projeto destacou utiliza principalmente modulo bi sinalizou possibilidade upgrade contrato alem disso reclamou falhas integracao sistemas cliente quer reduzir trabalho manual centralizar dados unica plataforma cliente espera melhoria perceptivel antes ampliar escopo,1,1,0
39,T040,2026-04-26,Saúde,Grande,Zoom,Manufatura,durante reuniao empresa setor saude porte grande equipe comercial observou utiliza principalmente modulo manufatura pediu proposta automacao processos alem disso mencionou risco cancelamento problema persistir existe expectativa ganho produtividade automacao fluxo aprovacao sugerida prova conceito validar aderencia,1,1,0
40,T041,2026-04-20,Construção,Grande,Google Meet,Analytics,durante reuniao empresa setor construcao porte grande time atendimento apontou utiliza principalmente modulo analytics mostrou interesse modulo fiscal relatorios inteligentes alem disso relatou lentidao horarios pico area negocio pediu alertas automaticos acompanhar desvios criticos time pediu acompanhamento quinzenal medir evolucao,1,1,0
41,T042,2026-04-29,Educação,Média,Zoom,Protheus,durante reuniao empresa setor educacao porte media gerente rh informou utiliza principalmente modulo protheus demonstrou abertura piloto dashboard gerencial alem disso registrou atraso recorrente fechamento financeiro mencionado concorrencia apresentou proposta agressiva cliente espera melhoria perceptivel antes ampliar escopo,1,0,1
42,T043,2026-05-14,Indústria,Média,Zoom,CRM,durante reuniao empresa setor industria porte media coordenador operacoes disse utiliza principalmente modulo crm disse time sobrecarregado retrabalho alem disso equipe alinhou cronograma nova rodada testes existe expectativa ganho produtividade automacao fluxo aprovacao proxima etapa sera consolidar requisitos priorizar entregas,1,0,0
43,T044,2026-04-05,Varejo,Pequena,Google Meet,Protheus,durante reuniao empresa setor varejo porte pequena time atendimento apontou utiliza principalmente modulo protheus solicitou apresentacao funcionalidades avancadas bi alem disso afirmou usuarios evitam usar algumas telas complexidade existe expectativa ganho produtividade automacao fluxo aprovacao cliente espera melhoria perceptivel antes ampliar escopo,1,1,0
44,T045,2026-05-12,Construção,Média,Presencial,Financeiro,durante reuniao empresa setor construcao porte media diretora financeira explicou utiliza principalmente modulo financeiro reuniao foco mapeamento processo atual alem disso discutidos responsaveis prazos proximos passos time interno considera importante acelerar adocao usuarios finais proxima etapa sera consolidar requisitos priorizar entregas,0,0,0
45,T046,2026-04-16,Serviços,Grande,Presencial,ERP,durante reuniao empresa setor servicos porte grande supervisor fiscal comentou utiliza principalmente modulo erp discutidos responsaveis prazos proximos passos alem disso listadas pendencias proxima sprint mencionado concorrencia apresentou proposta agressiva sugerida prova conceito validar aderencia,0,0,1
46,T047,2026-05-03,Distribuição,Grande,Zoom,Protheus,durante reuniao empresa setor distribuicao porte grande time atendimento apontou utiliza principalmente modulo protheus mostrou interesse modulo fiscal relatorios inteligentes alem disso listadas pendencias proxima sprint mencionado concorrencia apresentou proposta agressiva cliente espera melhoria perceptivel antes ampliar escopo,0,1,1
47,T048,2026-05-04,Tecnologia,Média,Zoom,Financeiro,durante reuniao empresa setor tecnologia porte media analista ti afirmou utiliza principalmente modulo financeiro solicitou apresentacao funcionalidades avancadas bi alem disso comentou diretoria questiona valor entregue area negocio pediu alertas automaticos acompanhar desvios criticos sugerida prova conceito validar aderencia,1,1,0
48,T049,2026-04-22,Indústria,Grande,Zoom,Financeiro,durante reuniao empresa setor industria porte grande analista ti afirmou utiliza principalmente modulo financeiro sinalizou possibilidade upgrade contrato alem disso citou insatisfacao suporte ultimo mes mencionado concorrencia apresentou proposta agressiva proxima etapa sera consolidar requisitos priorizar entregas reuniao hibrida audio trechos curtos frases interrompidas assim ficou claro desconforto falhas,1,1,1
49,T050,2026-04-27,Educação,Média,Google Meet,Financeiro,durante reuniao empresa setor educacao porte media gestor comentou utiliza principalmente modulo financeiro grupo revisou perfis acesso regras negocio alem disso validada necessidade treinamento usuarioschave conversa reforcou necessidade padronizacao cadastro qualidade dados sugerida prova conceito validar aderencia,0,0,0
50,T051,2026-05-15,Varejo,Pequena,Presencial,Manufatura,durante reuniao empresa setor varejo porte pequena time atendimento apontou utiliza principalmente modulo manufatura relatou lentidao horarios pico alem disso grupo revisou perfis acesso regras negocio conversa reforcou necessidade padronizacao cadastro qualidade dados ficou combinado retornar plano acao nova demonstracao,1,0,0
51,T052,2026-05-05,Logística,Média,Presencial,Manufatura,durante reuniao empresa setor logistica porte media supervisor fiscal comentou utiliza principalmente modulo manufatura demonstrou abertura piloto dashboard gerencial alem disso registrou atraso recorrente fechamento financeiro existe expectativa ganho produtividade automacao fluxo aprovacao time pediu acompanhamento quinzenal medir evolucao,1,0,0
52,T053,2026-05-13,Construção,Média,Teams,Manufatura,durante reuniao empresa setor construcao porte media equipe comercial observou utiliza principalmente modulo manufatura mostrou interesse modulo fiscal relatorios inteligentes alem disso mencionou risco cancelamento problema persistir conversa reforcou necessidade padronizacao cadastro qualidade dados proxima etapa sera consolidar requisitos priorizar entregas,1,1,0
53,T054,2026-05-07,Agronegócio,Grande,Teams,Manufatura,durante reuniao empresa setor agronegocio porte grande time atendimento apontou utiliza principalmente modulo manufatura interesse ampliar uso sistema alem disso citou insatisfacao suporte ultimo mes time interno considera importante acelerar adocao usuarios finais proxima etapa sera consolidar requisitos priorizar entregas,1,1,0
54,T055,2026-04-21,Tecnologia,Pequena,Teams,Fiscal,durante reuniao empresa setor tecnologia porte pequena responsavel projeto destacou utiliza principalmente modulo fiscal demonstrou abertura piloto dashboard gerencial alem disso listadas pendencias proxima sprint lideranca quer evidencias quantitativas antes decidir expansao time pediu acompanhamento quinzenal medir evolucao,0,0,0
55,T056,2026-05-01,Construção,Média,Presencial,Fiscal,durante reuniao empresa setor construcao porte media gestor comentou utiliza principalmente modulo fiscal interesse ampliar uso sistema alem disso reuniao foco mapeamento processo atual lideranca quer evidencias quantitativas antes decidir expansao proxima etapa sera consolidar requisitos priorizar entregas,0,1,0
56,T057,2026-04-13,Indústria,Grande,Teams,ERP,durante reuniao empresa setor industria porte grande coordenador operacoes disse utiliza principalmente modulo erp relatou lentidao horarios pico alem disso cliente pediu documentacao tecnica complementar existe expectativa ganho produtividade automacao fluxo aprovacao proxima etapa sera consolidar requisitos priorizar entregas,1,0,0
57,T058,2026-04-30,Tecnologia,Grande,Teams,Analytics,durante reuniao empresa setor tecnologia porte grande coordenador operacoes disse utiliza principalmente modulo analytics disse time sobrecarregado retrabalho alem disso validada necessidade treinamento usuarioschave mencionado concorrencia apresentou proposta agressiva decisao dependera percepcao valor proximas semanas,1,0,1
58,T059,2026-04-07,Agronegócio,Grande,Teams,,durante reuniao empresa setor agronegocio porte grande analista ti afirmou utiliza principalmente modulo rh interesse ampliar uso sistema alem disso revisao indicadores serao acompanhados time interno considera importante acelerar adocao usuarios finais sugerida prova conceito validar aderencia,0,1,0
59,T060,2026-05-14,Educação,Pequena,Google Meet,CRM,durante reuniao empresa setor educacao porte pequena analista ti afirmou utiliza principalmente modulo crm citou insatisfacao suporte ultimo mes alem disso reuniao foco mapeamento processo atual lideranca quer evidencias quantitativas antes decidir expansao decisao dependera percepcao valor proximas semanas,1,0,0
60,T061,2026-05-12,Construção,Grande,Zoom,CRM,durante reuniao empresa setor construcao porte grande supervisor fiscal comentou utiliza principalmente modulo crm sinalizou possibilidade upgrade contrato alem disso relatou lentidao horarios pico time interno considera importante acelerar adocao usuarios finais sugerida prova conceito validar aderencia,1,1,0
61,T062,2026-04-28,Indústria,Média,Zoom,Protheus,durante reuniao empresa setor industria porte media diretora financeira explicou utiliza principalmente modulo protheus cliente pediu documentacao tecnica complementar alem disso revisao indicadores serao acompanhados conversa reforcou necessidade padronizacao cadastro qualidade dados sugerida prova conceito validar aderencia,0,0,0
62,T063,2026-04-06,Construção,Grande,Zoom,BI,durante reuniao empresa setor construcao porte grande coordenador operacoes disse utiliza principalmente modulo bi revisao indicadores serao acompanhados alem disso listadas pendencias proxima sprint existe expectativa ganho produtividade automacao fluxo aprovacao sugerida prova conceito validar aderencia,0,0,0
63,T064,2026-05-02,Agronegócio,Grande,Presencial,BI,durante reuniao empresa setor agronegocio porte grande cliente relatou utiliza principalmente modulo bi sinalizou possibilidade upgrade contrato alem disso cliente pediu documentacao tecnica complementar conversa reforcou necessidade padronizacao cadastro qualidade dados proxima etapa sera consolidar requisitos priorizar entregas usuarios disseram processo atual manual lento pouco confiavel,0,1,0
64,T065,2026-05-15,Logística,Média,Zoom,Fiscal,durante reuniao empresa setor logistica porte media time atendimento apontou utiliza principalmente modulo fiscal pediu proposta automacao processos alem disso reuniao foco mapeamento processo atual existe expectativa ganho produtividade automacao fluxo aprovacao ficou combinado retornar plano acao nova demonstracao,0,1,0
65,T066,2026-04-16,Educação,Grande,Presencial,Protheus,durante reuniao empresa setor educacao porte grande supervisor fiscal comentou utiliza principalmente modulo protheus registrou atraso recorrente fechamento financeiro alem disso listadas pendencias proxima sprint conversa reforcou necessidade padronizacao cadastro qualidade dados ficou combinado retornar plano acao nova demonstracao,1,0,0
66,T067,2026-04-20,Indústria,Média,Google Meet,Manufatura,durante reuniao empresa setor industria porte media coordenador operacoes disse utiliza principalmente modulo manufatura reclamou falhas integracao sistemas alem disso listadas pendencias proxima sprint lideranca quer evidencias quantitativas antes decidir expansao sugerida prova conceito validar aderencia,1,0,0
67,T068,2026-04-20,Distribuição,Média,Zoom,Protheus,durante reuniao empresa setor distribuicao porte media analista ti afirmou utiliza principalmente modulo protheus disse time sobrecarregado retrabalho alem disso equipe alinhou cronograma nova rodada testes cliente quer reduzir trabalho manual centralizar dados unica plataforma cliente espera melhoria perceptivel antes ampliar escopo,1,0,0
68,T069,2026-04-13,Educação,Média,Teams,Fluig,durante reuniao empresa setor educacao porte media diretora financeira explicou utiliza principalmente modulo fluig demonstrou abertura piloto dashboard gerencial alem disso listadas pendencias proxima sprint area negocio pediu alertas automaticos acompanhar desvios criticos cliente espera melhoria perceptivel antes ampliar escopo,0,0,0
69,T070,2026-04-19,Agronegócio,Grande,Zoom,CRM,durante reuniao empresa setor agronegocio porte grande coordenador operacoes disse utiliza principalmente modulo crm demonstrou abertura piloto dashboard gerencial alem disso validada necessidade treinamento usuarioschave mencionado concorrencia apresentou proposta agressiva time pediu acompanhamento quinzenal medir evolucao,0,0,1
70,T071,2026-05-06,Distribuição,Pequena,Zoom,ERP,durante reuniao empresa setor distribuicao porte pequena cliente relatou utiliza principalmente modulo erp pediu proposta automacao processos alem disso cliente pediu documentacao tecnica complementar conversa reforcou necessidade padronizacao cadastro qualidade dados ficou combinado retornar plano acao nova demonstracao,0,1,0
71,T072,2026-04-22,Agronegócio,Média,Presencial,Protheus,durante reuniao empresa setor agronegocio porte media gerente rh informou utiliza principalmente modulo protheus quer integrar crm erp ainda neste semestre alem disso reuniao foco mapeamento processo atual area negocio pediu alertas automaticos acompanhar desvios criticos sugerida prova conceito validar aderencia,0,1,0
72,T073,2026-05-11,Indústria,Média,Presencial,CRM,durante reuniao empresa setor industria porte media time atendimento apontou utiliza principalmente modulo crm interesse ampliar uso sistema alem disso cliente pediu documentacao tecnica complementar mencionado concorrencia apresentou proposta agressiva decisao dependera percepcao valor proximas semanas,0,1,1
73,T074,2026-05-09,Indústria,Pequena,Teams,Fluig,durante reuniao empresa setor industria porte pequena responsavel projeto destacou utiliza principalmente modulo fluig equipe alinhou cronograma nova rodada testes alem disso grupo revisou perfis acesso regras negocio conversa reforcou necessidade padronizacao cadastro qualidade dados sugerida prova conceito validar aderencia,0,0,0
74,T075,2026-04-04,Agronegócio,Média,Zoom,Analytics,durante reuniao empresa setor agronegocio porte media time atendimento apontou utiliza principalmente modulo analytics discutidos responsaveis prazos proximos passos alem disso equipe alinhou cronograma nova rodada testes existe expectativa ganho produtividade automacao fluxo aprovacao time pediu acompanhamento quinzenal medir evolucao,0,0,0
75,T076,2026-04-11,Serviços,Pequena,Google Meet,Fluig,durante reuniao empresa setor servicos porte pequena gestor comentou utiliza principalmente modulo fluig interesse ampliar uso sistema alem disso grupo revisou perfis acesso regras negocio conversa reforcou necessidade padronizacao cadastro qualidade dados cliente espera melhoria perceptivel antes ampliar escopo,0,1,0
76,T077,2026-05-15,Saúde,Pequena,Google Meet,Fiscal,durante reuniao empresa setor saude porte pequena analista ti afirmou utiliza principalmente modulo fiscal solicitou apresentacao funcionalidades avancadas bi alem disso citou insatisfacao suporte ultimo mes existe expectativa ganho produtividade automacao fluxo aprovacao time pediu acompanhamento quinzenal medir evolucao,1,1,0
77,T078,2026-05-23,Construção,Pequena,Google Meet,RH,durante reuniao empresa setor construcao porte pequena analista ti afirmou utiliza principalmente modulo rh mencionou risco cancelamento problema persistir alem disso discutidos responsaveis prazos proximos passos tambem apareceu necessidade melhorar visibilidade indicadores diretoria proxima etapa sera consolidar requisitos priorizar entregas,1,0,0
78,T079,2026-04-30,Agronegócio,Grande,Zoom,Protheus,durante reuniao empresa setor agronegocio porte grande gestor comentou utiliza principalmente modulo protheus revisao indicadores serao acompanhados alem disso grupo revisou perfis acesso regras negocio area negocio pediu alertas automaticos acompanhar desvios criticos decisao dependera percepcao valor proximas semanas,0,0,0
79,T080,2026-05-09,Tecnologia,Pequena,Teams,Manufatura,durante reuniao empresa setor tecnologia porte pequena equipe comercial observou utiliza principalmente modulo manufatura pediu proposta automacao processos alem disso relatou lentidao horarios pico cliente quer reduzir trabalho manual centralizar dados unica plataforma proxima etapa sera consolidar requisitos priorizar entregas diretoria pediu visao consolidada indicadores especialmente receita margem inadimplencia,1,1,0
80,T081,2026-05-04,Saúde,Grande,Teams,RH,durante reuniao empresa setor saude porte grande gerente rh informou utiliza principalmente modulo rh solicitou apresentacao funcionalidades avancadas bi alem disso revisao indicadores serao acompanhados mencionado concorrencia apresentou proposta agressiva decisao dependera percepcao valor proximas semanas,0,1,1
81,T082,2026-04-22,Tecnologia,Pequena,Presencial,BI,durante reuniao empresa setor tecnologia porte pequena responsavel projeto destacou utiliza principalmente modulo bi sinalizou possibilidade upgrade contrato alem disso citou insatisfacao suporte ultimo mes mencionado concorrencia apresentou proposta agressiva time pediu acompanhamento quinzenal medir evolucao,1,1,1
82,T083,2026-04-30,Tecnologia,Média,Presencial,Fluig,durante reuniao empresa setor tecnologia porte media cliente relatou utiliza principalmente modulo fluig avaliando contratar modulo analytics alem disso reclamou falhas integracao sistemas area negocio pediu alertas automaticos acompanhar desvios criticos time pediu acompanhamento quinzenal medir evolucao,1,1,0
83,T084,2026-04-27,Construção,Grande,Teams,Fluig,durante reuniao empresa setor construcao porte grande gerente rh informou utiliza principalmente modulo fluig interesse ampliar uso sistema alem disso equipe alinhou cronograma nova rodada testes lideranca quer evidencias quantitativas antes decidir expansao decisao dependera percepcao valor proximas semanas,0,1,0
84,T085,2026-04-09,Tecnologia,Pequena,Google Meet,Fiscal,durante reuniao empresa setor tecnologia porte pequena supervisor fiscal comentou utiliza principalmente modulo fiscal pediu proposta automacao processos alem disso registrou atraso recorrente fechamento financeiro conversa reforcou necessidade padronizacao cadastro qualidade dados ficou combinado retornar plano acao nova demonstracao,1,1,0
85,T086,2026-04-01,Agronegócio,Pequena,Google Meet,Fiscal,durante reuniao empresa setor agronegocio porte pequena supervisor fiscal comentou utiliza principalmente modulo fiscal mostrou interesse modulo fiscal relatorios inteligentes alem disso discutidos responsaveis prazos proximos passos existe expectativa ganho produtividade automacao fluxo aprovacao ficou combinado retornar plano acao nova demonstracao,0,1,0
